vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4,basic-vmlinux,basic-GZIP-bzImage,basic-GZIP-vmlinux,basic-GZIP,basic-BZIP2-bzImage,basic-BZIP2-vmlinux,basic-BZIP2,basic-LZMA-bzImage,basic-LZMA-vmlinux,basic-LZMA,basic-XZ-bzImage,basic-XZ-vmlinux,basic-XZ,basic-LZO-bzImage,basic-LZO-vmlinux,basic-LZO,basic-LZ4-bzImage,basic-LZ4-vmlinux,basic-LZ4
64241544,6726608,8811992,6580441,10433488,12518312,6167633,5346256,7431120,5209210,4662224,6747512,4515160,7406544,9491320,7271308,7934928,10020016,7785825,64241544,6726608,8811992,6580441,10433488,12518312,6168099,5346256,7431120,5208729,4658128,6743416,4513672,7406544,9491320,7271280,7934928,10020016,7785838
19940368,5923792,8008824,5777596,9806800,11891280,5542710,4867024,6951536,4732426,4584400,6669344,4438124,6484944,8569368,6351528,6915024,8999768,6768214,19940368,5923792,8008824,5777589,9806800,11891280,5542772,4867024,6951536,4733254,4584400,6669344,4438492,6484944,8569368,6351535,6910928,8995672,6768096
71333792,19477968,21562832,19330498,23315920,25400232,19048370,15455696,17540048,15318660,14009808,16094584,13863576,21497296,23581560,21362403,23229904,25314480,23081629,71333792,19477968,21562832,19330523,23315920,25400232,19048766,15459792,17544144,15321489,13985232,16070008,13838152,21497296,23581560,21362418,23229904,25314480,23081584
21332760,6435280,8521168,6286457,10260944,12346280,5996450,5353936,7439312,5215954,5091792,7177592,4945140,6967760,9053048,6831790,7373264,9458864,7226068,21332760,6435280,8521168,6286463,10260944,12346280,5996611,5345744,7431120,5207735,5099984,7185784,4953324,6967760,9053048,6831791,7373264,9458864,7226070
37729360,7644624,9729488,7496165,11322832,13407144,7055147,6264272,8348624,6127704,5957072,8041848,5808676,8308176,10392440,8172681,8787408,10871984,8636967,37729360,7644624,9729488,7496164,11322832,13407144,7055112,6268368,8352720,6132762,5952976,8037752,5807864,8308176,10392440,8172680,8787408,10871984,8636966
18841496,5227984,7312848,5079112,9201104,11285416,4933185,4380112,6464464,4240870,4183504,6268280,4035636,5666256,7750520,5529285,6018512,8103088,5871872,18841496,5227984,7312848,5079110,9201104,11285416,4933128,4380112,6464464,4242358,4183504,6268280,4036280,5666256,7750520,5529228,6018512,8103088,5871896
44515312,9053136,11138512,8904485,12825552,14910376,8561567,7345104,9429968,7207174,6915024,9000312,6771032,9950160,12034936,9813481,10593232,12678320,10443744,44515312,9053136,11138512,8904485,12825552,14910376,8561472,7345104,9429968,7209736,6919120,9004408,6772424,9950160,12034936,9813482,10593232,12678320,10443743
49942504,14102480,16188536,13958817,17235920,19321424,12973213,11182032,13267568,11049768,9711568,11797536,9570688,15478736,17564184,15346991,16494544,18580312,16349307,49942504,14102480,16188536,13958816,17235920,19321424,12973085,11186128,13271664,11052079,9711568,11797536,9569112,15478736,17564184,15347026,16494544,18580312,16349341
23038856,4129744,6214776,3985622,8147920,10232400,3886060,3437520,5522032,3300618,3269584,5354528,3126628,4522960,6607384,4391010,4805584,6890328,4660100,23038856,4129744,6214776,3985616,8147920,10232400,3886163,3433424,5517936,3299910,3273680,5358624,3128692,4522960,6607384,4391008,4805584,6890328,4660103
27424000,7394768,9479288,7248609,11339216,13423184,7075533,6067664,8151664,5932587,5756368,7840800,5610160,8099280,10183192,7965640,8639952,10724184,8493276,27424000,7394768,9479288,7248607,11339216,13423184,7075464,6067664,8151664,5931776,5756368,7840800,5610376,8099280,10183192,7965638,8639952,10724184,8493275
43231696,8942864,11031856,8711071,13059344,15147784,8709380,7259408,9347880,7035128,6878480,8967384,6648680,10061072,12149456,9842990,10863888,12952592,10631604,43231696,8942864,11031856,8711066,13059344,15147784,8709473,7259408,9347880,7035153,6882576,8971480,6650376,10061072,12149456,9842990,10863888,12952592,10631603
68336904,19559376,21644752,19413365,22619088,24703912,18351691,15414224,17499088,15277854,13038544,15123832,12890180,21537744,23622520,21404167,23102416,25187504,22952672,68336904,19559376,21644752,19413364,22619088,24703912,18351754,15410128,17494992,15274005,13038544,15123832,12892860,21537744,23622520,21404168,23102416,25187504,22952672
46928088,11239888,13325776,11090948,14926288,17011624,10659368,9130448,11215824,8994460,8630736,10716536,8484176,12231120,14316408,12095716,12972496,15058096,12827470,46928088,11239888,13325776,11090946,14926288,17011624,10659342,9130448,11215824,8994519,8630736,10716536,8484096,12231120,14316408,12095715,12972496,15058096,12827468
26029832,5039056,7125880,4829093,9155536,11241808,4826719,4101072,6187376,3900907,3826640,5913376,3615856,5628880,7715096,5431198,6079440,8165976,5868755,26029832,5039056,7125880,4829094,9155536,11241808,4826318,4101072,6187376,3902151,3822544,5909280,3614676,5628880,7715096,5431131,6079440,8165976,5868708
36411424,8082384,10167760,7936519,11908048,13992872,7640891,6673360,8758224,6537407,6259664,8344952,6113128,8795088,10879864,8661050,9352144,11437232,9202788,36411424,8082384,10167760,7936529,11903952,13988776,7640652,6673360,8758224,6537264,6259664,8344952,6112412,8795088,10879864,8661046,9352144,11437232,9202787
133687272,19870672,21957496,19659946,24388560,26474832,20059643,15406032,17492336,15204066,14865360,16952096,14654604,22758352,24844568,22557953,24978384,27064920,24768441,133687272,19870672,21957496,19659805,24388560,26474832,20058114,15406032,17492336,15204642,14869456,16956192,14661256,22758352,24844568,22558180,24978384,27064920,24768720
23165344,6500816,8586704,6354038,10445264,12530600,6180906,5333456,7418832,5198052,4964816,7050616,4821176,7131600,9216888,6996005,7627216,9712816,7478752,23165392,6500816,8586704,6354841,10449360,12534696,6182791,5337552,7422928,5199169,4964816,7050616,4820372,7131600,9216888,6995440,7627216,9712816,7479301
27913720,7066576,9151952,6919023,10843088,12927912,6576738,5833680,7918544,5694841,5501904,7587192,5356672,7701456,9786232,7567572,8147920,10233008,8001477,27913720,7066576,9151952,6919023,10843088,12927912,6576706,5829584,7914448,5692357,5501904,7587192,5354940,7701456,9786232,7567572,8147920,10233008,8001475
19341440,4879824,6964688,4730528,8844752,10929064,4578111,4077008,6161360,3941003,3827152,5911928,3681260,5277136,7361400,5143185,5580240,7664816,5432583,19341440,4879824,6964688,4730679,8844752,10929064,4578300,4077008,6161360,3940505,3827152,5911928,3679804,5277136,7361400,5143087,5580240,7664816,5432591
27613416,7542224,9627088,7392330,11408848,13493160,7144727,6206928,8291280,6067452,5797328,7882104,5651784,8213968,10298232,8076768,8730064,10814640,8580664,27613416,7542224,9627088,7392331,11412944,13497256,7145033,6211024,8295376,6071193,5801424,7886200,5654408,8213968,10298232,8076768,8730064,10814640,8580665
58454992,6516688,8602744,6370312,10346448,12431952,6082535,4964304,7049840,4830040,4624336,6710304,4478988,7282640,9368088,7150230,7856080,9941848,7712499,58454952,6512592,8598648,6367957,10346448,12431952,6082464,4968400,7053936,4832566,4624336,6710304,4481560,7282640,9368088,7150014,7856080,9941848,7712360
27231416,6738896,8824280,6591430,10626000,12710824,6361271,5518288,7603152,5379292,5198800,7284088,5053496,7406544,9491320,7270867,7902160,9987248,7753748,27231416,6738896,8824280,6591435,10626000,12710824,6362440,5518288,7603152,5379081,5198800,7284088,5054164,7406544,9491320,7270866,7902160,9987248,7753747
19921632,6308816,8394192,6159384,10146768,12231592,5881316,5264336,7349200,5128741,5026768,7112056,4880028,6829008,8913784,6695675,7209936,9295024,7060942,19921552,6304720,8390096,6158650,10146768,12231592,5881771,5264336,7349200,5129219,5022672,7107960,4878196,6829008,8913784,6694577,7209936,9295024,7060944
223790232,31727568,33815376,31526270,37314512,39401760,32996288,23994320,26081600,23803636,22962128,25049840,22761180,37326800,39413992,37138523,41881552,43969064,41679888,223790232,31727568,33815376,31526229,37314512,39401760,32996188,23998416,26085696,23807890,22970320,25058032,22770356,37326800,39413992,37138517,41881552,43969064,41679876
213755640,24564176,26650064,24414973,26763728,28849064,22497817,18829776,20915152,18691900,17043920,19129720,16898748,27193808,29279096,27056636,29139408,31225008,28992797,213755640,24564176,26650064,24414974,26763728,28849064,22496513,18821584,20906960,18684531,17048016,19133816,16901348,27193808,29279096,27056636,29139408,31225008,28992797
166531536,7431120,9517896,7230616,11592656,13678880,7271890,6116304,8202560,5924368,5796816,7883504,5596424,8319952,10406120,8131667,8979408,11065896,8776950,166536256,7431120,9517896,7230230,11592656,13678880,7271417,6116304,8202560,5924589,5796816,7883504,5595692,8319952,10406120,8131708,8979408,11065896,8776742
18699792,4027856,6112728,3881257,8074704,10159016,3808558,3335632,5419984,3200007,3114448,5199224,2968916,4425168,6509432,4290301,4732368,6816944,4584084,18699792,4027856,6112728,3881257,8074704,10159016,3808529,3339728,5424080,3200166,3114448,5199224,2966312,4425168,6509432,4290303,4732368,6816944,4584066
205211296,22603216,24688080,22454038,25204176,27288488,20939441,16844240,18928592,16707487,15709648,17794424,15562440,25257424,27341688,25123486,26731984,28816560,26582905,205228232,22603216,24688080,22456431,25195984,27280296,20929904,16848336,18932688,16709445,15689168,17773944,15540864,25261520,27345784,25125639,26731984,28816560,26583385
21434880,6403024,8488400,6254759,10302416,12387240,6037596,5329872,7414736,5194375,4391888,6477176,4245704,6976464,9061240,6840157,7439312,9524400,7291858,21434992,6403024,8488400,6255933,10302416,12387240,6037011,5333968,7418832,5195731,4391888,6477176,4246584,6976464,9061240,6841618,7439312,9524400,7293382
16113376,3736528,5821568,3591452,7766992,9851472,3501767,3101648,5186160,2965064,2880464,4965408,2737380,4084688,6169112,3951171,4346832,6431576,4202550,16113376,3736528,5821568,3591452,7766992,9851472,3501762,3101648,5186160,2964783,2880464,4965408,2736328,4084688,6169112,3951170,4346832,6431576,4202542
28274880,7602128,9688528,7456601,11460560,13546408,7194741,6160336,8246224,6024007,5803984,7890296,5660156,8359888,10445688,8226923,8929232,11015344,8784466,28274880,7602128,9688528,7456600,11460560,13546408,7194623,6160336,8246224,6023153,5803984,7890296,5657944,8359888,10445688,8226911,8929232,11015344,8784465
177300840,23712208,25799496,23509527,28332496,30419232,24012927,17555920,19642688,17365005,16445904,18533104,16247732,28783056,30869736,28595346,32235984,34322984,32035632,177300840,23712208,25799496,23509490,28332496,30419232,24011675,17560016,19646784,17370172,16450000,18537200,16252088,28783056,30869736,28595281,32235984,34322984,32035608
72356328,14258128,16344528,14112138,17133520,19219368,12868090,10989520,13075408,10851712,10276816,12363128,10131780,15830992,17916792,15695809,16773072,18859184,16627526,72352448,14258128,16344528,14111178,17129424,19215272,12865080,10989520,13075408,10852895,10280912,12367224,10135260,15830992,17916792,15697173,16773072,18859184,16627153
299383280,18411984,20499112,18211156,22352336,24438912,18032507,14758352,16844960,14569472,13939152,16026192,13738864,20697552,22784072,20509397,22311376,24398216,22110766,299383280,18411984,20499112,18211150,22352336,24438912,18032504,14754256,16840864,14564128,13935056,16022096,13736476,20697552,22784072,20509389,22311376,24398216,22110815
35791672,8958416,11044304,8810292,12788176,14873512,8524459,7250384,9335760,7113499,6742480,8828280,6597628,9859536,11944824,9723130,10502608,12588208,10356601,35791672,8958416,11044304,8810289,12788176,14873512,8524446,7250384,9335760,7114184,6742480,8828280,6598184,9859536,11944824,9723130,10502608,12588208,10356601
30536672,9184208,11269240,9036629,12960720,15045200,8697103,7455696,9540208,7319884,6984656,9069600,6840732,10052560,12136984,9918113,10703824,12788568,10559055,30536672,9184208,11269240,9036630,12960720,15045200,8697096,7455696,9540208,7319487,6984656,9069600,6838828,10052560,12136984,9918113,10703824,12788568,10559055
53088712,8098768,10185544,7895817,12235728,14321952,7915028,6288336,8374592,6096458,5501904,7588592,5300928,9524176,11610344,9333664,10507216,12593704,10304584,53088712,8098768,10185544,7895811,12235728,14321952,7915111,6284240,8370496,6091824,5497808,7584496,5298060,9524176,11610344,9333664,10507216,12593704,10304583
84540784,25257424,27341944,25111896,27706832,29790800,23441468,19768784,21852784,19633793,18044368,20128800,17900048,27760080,29843992,27625494,29730256,31814488,29582019,84540784,25257424,27341944,25111939,27706832,29790800,23442130,19768784,21852784,19634081,18044368,20128800,17898164,27760080,29843992,27625489,29730256,31814488,29582019
20599536,4902864,6989264,4754639,8794064,10879912,4531355,4083664,6169552,3947006,3874768,5961080,3728640,5345232,7431032,5210453,5664720,7750832,5516752,20599536,4902864,6989264,4755237,8798160,10884008,4532695,4083664,6169552,3947134,3874768,5961080,3727872,5345232,7431032,5211259,5664720,7750832,5516971
184150456,12575696,14662312,12375364,16876496,18962560,12558985,9147344,11233440,8957334,8504272,10590800,8306380,15508432,17594440,15318616,17318864,19405192,17118472,184150456,12575696,14662312,12375351,16880592,18966656,12560175,9151440,11237536,8960313,8520656,10607184,8320464,15508432,17594440,15318613,17318864,19405192,17118467
26925912,7414224,9500112,7266548,11346384,13431720,7082416,6144464,8229840,6009198,5054928,7140728,4909136,8065488,10150776,7932727,8626640,10712240,8479612,26925912,7414224,9500112,7266550,11346384,13431720,7082417,6144464,8229840,6009636,5054928,7140728,4908828,8065488,10150776,7932725,8626640,10712240,8479610
34857040,7738320,9823704,7591599,11359184,13444008,7094613,6153168,8238032,6016273,5243856,7329144,5096832,8471504,10556280,8334264,9024464,11109552,8878771,34857040,7738320,9823704,7591598,11359184,13444008,7094484,6157264,8242128,6019139,5243856,7329144,5097352,8471504,10556280,8334264,9024464,11109552,8878771
